V1, V2, V3
11104, 27502, 27518
11104, 11088, 27502
11088, 27486, 27502
11088, 11072, 27486
11072, 27470, 27486
11072, 11056, 27470
11056, 27454, 27470
11056, 11040, 27454
11040, 27438, 27454
11040, 11024, 27438
11024, 27422, 27438
11024, 11008, 27422
11008, 27406, 27422
11008, 10992, 27406
10992, 27390, 27406
10992, 10976, 27390
10976, 27374, 27390
10976, 10960, 27374
10960, 27358, 27374
10960, 10944, 27358
10944, 27342, 27358
10944, 10928, 27342
10928, 27326, 27342
10928, 10912, 27326
10912, 27310, 27326
10912, 10896, 27310
10896, 27294, 27310
10896, 10880, 27294
160, 144, 32480
16368, 16352, 32337
16192, 16176, 32210
16016, 16000, 32067
15840, 15824, 31924
15664, 15648, 31781
15472, 15456, 31622
15280, 15264, 31463
15072, 15056, 31304
14864, 14848, 31129
14672, 14656, 30954
14448, 14432, 30763
14192, 14176, 30540
13904, 13888, 30285
13600, 13584, 29998
13184, 13168, 29599
32337, 16368, 32336
16368, 0, 32336
0, 32352, 32336
0, 16, 32352
16, 32368, 32352
16, 32, 32368
32, 32384, 32368
32, 48, 32384
48, 32400, 32384
48, 64, 32400
64, 32416, 32400
64, 80, 32416
80, 32432, 32416
80, 96, 32432
96, 32448, 32432
96, 112, 32448
112, 32464, 32448
112, 128, 32464
128, 32480, 32464
128, 144, 32480
32210, 16192, 32209
16192, 16208, 32209
16208, 16224, 32209
16224, 32225, 32209
16224, 16240, 32225
16240, 32241, 32225
16240, 16256, 32241
16256, 32257, 32241
16256, 16272, 32257
16272, 32273, 32257
16272, 16288, 32273
16288, 32289, 32273
16288, 16304, 32289
16304, 32305, 32289
16304, 16320, 32305
16320, 32321, 32305
16320, 16336, 32321
16336, 32337, 32321
16336, 16352, 32337
32067, 16016, 32066
16016, 16032, 32066
16032, 32082, 32066
16032, 16048, 32082
16048, 32098, 32082
16048, 16064, 32098
16064, 32114, 32098
16064, 16080, 32114
16080, 32130, 32114
16080, 16096, 32130
16096, 32146, 32130
16096, 16112, 32146
16112, 32162, 32146
16112, 16128, 32162
16128, 32178, 32162
16128, 16144, 32178
16144, 32194, 32178
16144, 16160, 32194
16160, 32210, 32194
16160, 16176, 32210
31924, 15840, 31923
15840, 15856, 31923
15856, 31939, 31923
15856, 15872, 31939
15872, 31955, 31939
15872, 15888, 31955
15888, 31971, 31955
15888, 15904, 31971
15904, 31987, 31971
15904, 15920, 31987
